customer_id,customer_name,email,signup_date
C1001,Amit Sharma,amit@gmail.com,2024-01-10
C1002,Priya Singh,priya@gmail.com,2024-01-15
C1003,Rahul Verma,rahul@gmail.com,2024-02-01
C1004,Neha Gupta,neha@gmail.com,2024-02-10
C1005,Arjun Patel,arjun@gmail.com,2024-03-05
C1006,Ananya Roy,ananya@gmail.com,2024-03-12
C1007,Karan Mehta,karan@gmail.com,2024-04-01
C1008,Sneha Jain,sneha@gmail.com,2024-04-15
C1009,Vikram Rao,vikram@gmail.com,2024-05-01
C1010,Pooja Nair,pooja@gmail.com,2024-05-15
C1011,Rohan Das,,2024-05-20
C1005,Arjun Patel,duplicate@gmail.com,2024-03-05
